borocode,boroname,countyfips,ntacode,ntaname,shape_area,shape_leng,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AR_1,SHAPE_LEN,19_placeke,19_locatio,19_street_,19_city,19_region,19_date_ra,19_date__1,19_raw_vis,19_raw_v_1,19_conc_ad,19_num,19_street
3.0000000000000000000000000000000,Brooklyn,"047",BK43,Midwood,35799637.8103000000119209289550781250000,27996.5912735999991127755492925643921,"11210","0",Brooklyn,67067.00000000,47887022.99216040,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-223@627-wg4-g8v,Flava II,1914 Nostrand Ave,New York,NY,2019-04-01T00:00:00-04:00,2019-05-01T00:00:00-04:00,"458","330","1914 Nostrand Ave, New York, NY, 11210","1914",Nostrand Ave
3.0000000000000000000000000000000,Brooklyn,"047",BK43,Midwood,35799637.8103000000119209289550781250000,27996.5912735999991127755492925643921,"11230","0",Brooklyn,80857.00000000,49926703.39331720,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-222@627-wdh-tvz,Z&I Dental Center,2001 Ave P Ste A2,New York,NY,2019-04-01T00:00:00-04:00,2019-05-01T00:00:00-04:00,"31","26","2001 Ave P Ste A2, New York, NY, 11230","2001",Ave P Ste A2
3.0000000000000000000000000000000,Brooklyn,"047",BK43,Midwood,35799637.8103000000119209289550781250000,27996.5912735999991127755492925643921,"11229","0",Brooklyn,79608.00000000,60119326.14426950,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-222@627-wdh-swk,T.J. Maxx,1630 East 15th St Kingswood Center,New York,NY,2019-04-01T00:00:00-04:00,2019-05-01T00:00:00-04:00,"1276","805","1630 East 15th St Kingswood Center, New York, NY, 11229","1630",East 15th St Kingswood Center
3.0000000000000000000000000000000,Brooklyn,"047",BK75,Bedford,32629833.1149000003933906555175781250000,29992.9191744000017934013158082962036,"11206","0",Brooklyn,83575.00000000,40700720.97272910,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-222@627-s96-hbk,Stagg Street Center For Children,0 Stagg Street,New York,NY,2019-04-01T00:00:00-04:00,2019-05-01T00:00:00-04:00,"65","24","0 Stagg Street, New York, NY, 11206","0",Stagg Street
3.0000000000000000000000000000000,Brooklyn,"047",BK75,Bedford,32629833.1149000003933906555175781250000,29992.9191744000017934013158082962036,"11205","0",Brooklyn,41125.00000000,23270147.94976230,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-222@627-s95-z2k,Holistic On Call,Please Call To Set Up An Appointment,New York,NY,2019-04-01T00:00:00-04:00,2019-05-01T00:00:00-04:00,"29","28","Please Call To Set Up An Appointment, New York, NY, 11205",Please,Call To Set Up An Appointment
3.0000000000000000000000000000000,Brooklyn,"047",BK75,Bedford,32629833.1149000003933906555175781250000,29992.9191744000017934013158082962036,"11238","0",Brooklyn,46664.00000000,29429423.46147940,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-223@627-s92-hnq,New York Equipment Dealers,996 Atantic Ave,New York,NY,2019-04-01T00:00:00-04:00,2019-05-01T00:00:00-04:00,"3","3","996 Atantic Ave, New York, NY, 11238","996",Atantic Ave
3.0000000000000000000000000000000,Brooklyn,"047",BK75,Bedford,32629833.1149000003933906555175781250000,29992.9191744000017934013158082962036,"11221","0",Brooklyn,80232.00000000,38580480.43430750,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-223@627-s8v-j35,Ozogeeks,4 Malcom X Blvd,New York,NY,2019-04-01T00:00:00-04:00,2019-05-01T00:00:00-04:00,"44","16","4 Malcom X Blvd, New York, NY, 11221","4",Malcom X Blvd
3.0000000000000000000000000000000,Brooklyn,"047",BK75,Bedford,32629833.1149000003933906555175781250000,29992.9191744000017934013158082962036,"11216","0",Brooklyn,53862.00000000,26478229.26344330,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,233-222@627-s92-2p9,Success Academy Charter School Prospect Heights,801 Park Pl 4th Fl,New York,NY,2019-04-01T00:00:00-04:00,2019-05-01T00:00:00-04:00,"6","5","801 Park Pl 4th Fl, New York, NY, 11216","801",Park Pl 4th Fl
3.0000000000000000000000000000000,Brooklyn,"047",BK75,Bedford,32629833.1149000003933906555175781250000,29992.9191744000017934013158082962036,"11211","0",Brooklyn,60861.00000000,40470881.67128340,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-222@627-s93-wtv,Popeyes Louisiana Kitchen,259 Vandervoot Avenue,New York,NY,2019-04-01T00:00:00-04:00,2019-05-01T00:00:00-04:00,"192","109","259 Vandervoot Avenue, New York, NY, 11211","259",Vandervoot Avenue
3.0000000000000000000000000000000,Brooklyn,"047",BK75,Bedford,32629833.1149000003933906555175781250000,29992.9191744000017934013158082962036,"11249","0",Brooklyn,28481.00000000,17772206.17012020,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzz-222@627-s96-whq,Berry Playground,106 South 3 Street,New York,NY,2019-04-01T00:00:00-04:00,2019-05-01T00:00:00-04:00,"319","145","106 South 3 Street, New York, NY, 11249","106",South 3 Street
3.0000000000000000000000000000000,Brooklyn,"047",BK88,Borough Park,54005019.2286000028252601623535156250000,39247.2277220000032684765756130218506,"11218","0",Brooklyn,72280.00000000,36868798.98975620,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzz-222@627-wh4-f75,Sitting Area Seeley,Sitting Area Seeley,New York,NY,2019-04-01T00:00:00-04:00,2019-05-01T00:00:00-04:00,"103","67","Sitting Area Seeley, New York, NY, 11218",Sitting,Area Seeley
3.0000000000000000000000000000000,Brooklyn,"047",BK88,Borough Park,54005019.2286000028252601623535156250000,39247.2277220000032684765756130218506,"11219","0",Brooklyn,92561.00000000,42002738.46723040,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-222@627-wgt-tvz,Tacos El Bronco,39th St & 9th Ave,New York,NY,2019-04-01T00:00:00-04:00,2019-05-01T00:00:00-04:00,"128","73","39th St & 9th Ave, New York, NY, 11219",39th,St & 9th Ave
3.0000000000000000000000000000000,Brooklyn,"047",BK88,Borough Park,54005019.2286000028252601623535156250000,39247.2277220000032684765756130218506,"11230","0",Brooklyn,80857.00000000,49926703.39331720,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-222@627-wdh-tvz,Z&I Dental Center,2001 Ave P Ste A2,New York,NY,2019-04-01T00:00:00-04:00,2019-05-01T00:00:00-04:00,"31","26","2001 Ave P Ste A2, New York, NY, 11230","2001",Ave P Ste A2
3.0000000000000000000000000000000,Brooklyn,"047",BK88,Borough Park,54005019.2286000028252601623535156250000,39247.2277220000032684765756130218506,"11204","0",Brooklyn,77354.00000000,43555184.61328500,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzz-222@627-wdm-qvf,Seth Low Playground Bealin Square,7217 Bay Parkway / 33 Avenue P,New York,NY,2019-04-01T00:00:00-04:00,2019-05-01T00:00:00-04:00,"3881","1444","7217 Bay Parkway / 33 Avenue P, New York, NY, 11204","7217",Bay Parkway / 33 Avenue P
3.0000000000000000000000000000000,Brooklyn,"047",BK88,Borough Park,54005019.2286000028252601623535156250000,39247.2277220000032684765756130218506,"11232","0",Brooklyn,29521.00000000,55879065.15026980,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,22m-222@627-wgv-p5f,Li Hing,181 34th St,New York,NY,2019-04-01T00:00:00-04:00,2019-05-01T00:00:00-04:00,"557","394","181 34th St, New York, NY, 11232","181",34th St
3.0000000000000000000000000000000,Brooklyn,"047",BK88,Borough Park,54005019.2286000028252601623535156250000,39247.2277220000032684765756130218506,"11220","0",Brooklyn,97257.00000000,47453785.79063740,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-222@627-wgy-gc5,Tires land,5708 3 Rd Ave,New York,NY,2019-04-01T00:00:00-04:00,2019-05-01T00:00:00-04:00,"549","250","5708 3 Rd Ave, New York, NY, 11220","5708",3 Rd Ave
3.0000000000000000000000000000000,Brooklyn,"047",BK96,Rugby-Remsen Village,32706946.4034999981522560119628906250000,30957.8533949000011489260941743850708,"11213","0",Brooklyn,62426.00000000,29631004.43793900,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzz-222@627-s8w-s5z,St MarkS Playground,St Marks Playground,New York,NY,2019-04-01T00:00:00-04:00,2019-05-01T00:00:00-04:00,"680","232","St Marks Playground, New York, NY, 11213",St,Marks Playground
3.0000000000000000000000000000000,Brooklyn,"047",BK96,Rugby-Remsen Village,32706946.4034999981522560119628906250000,30957.8533949000011489260941743850708,"11212","0",Brooklyn,83866.00000000,41972104.07141980,NY,Kings,"36","047",http://www.usps.com/,0.00000000000,0.00000000000,zzy-222@627-wg7-djv,Big Apple Stars,0 New Lots Avenue,New York,NY,2019-04-01T00:00:00-04:00,2019-05-01T00:00:00-04:00,"190","142","0 New Lots Avenue, New York, NY, 11212","0",New Lots Avenue
